t,theta,omega,drive_force_c
29.76,-0.6573924949683225,-2.2516567507201333,0.9444444444444444
29.77,-0.6798764484278252,-2.245089464333767,0.9444444444444444
29.78,-0.7022933990517164,-2.238256766871322,0.9444444444444444
29.79,-0.7246407117516117,-2.2311624521788787,0.9444444444444444
29.8,-0.7469157893579743,-2.223810399052262,0.9444444444444444
29.810000000000002,-0.7691160741214029,-2.216204563682338,0.9444444444444444
29.82,-0.7912390480355322,-2.208348976182555,0.9444444444444444
29.830000000000002,-0.8132822343159783,-2.200247729749564,0.9444444444444444
29.84,-0.8352431974242387,-2.19190498050137,0.9444444444444444
29.85,-0.8571195431473442,-2.1833249466794014,0.9444444444444444
29.86,-0.8789089199428456,-2.174511896802286,0.9444444444444444
29.87,-0.9006090189564477,-2.1654701510960073,0.9444444444444444
29.88,-0.9222175749999877,-2.1562040682789303,0.9444444444444444
29.89,-0.9437323668789261,-2.1467180418357796,0.9444444444444444
29.900000000000002,-0.9651512173922936,-2.1370165000176597,0.9444444444444444
29.91,-0.9864719934804511,-2.127103902888389,0.9444444444444444
29.92,-1.0076926070126684,-2.116984730578846,0.9444444444444444
29.93,-1.0288110146362295,-2.1066634856602757,0.9444444444444444
29.94,-1.049825218166437,-2.096144679285633,0.9444444444444444
29.95,-1.070733264634503,-2.085432829954535,0.9444444444444444
29.96,-1.0915332462876077,-2.074532463513231,0.9444444444444444
29.97,-1.1122233005660114,-2.063448109382918,0.9444444444444444
29.98,-1.1328016102396141,-2.0521842901184115,0.9444444444444444
29.990000000000002,-1.153266403336394,-2.0407455238931718,0.9444444444444444
30.0,-1.1736159527977057,-2.0291363120386485,0.9444444444444444
30.01,-1.1938485764660245,-2.017361138323623,0.9444444444444444
30.02,-1.213962637084895,-2.005424468954238,0.9444444444444444
30.03,-1.2339565421078087,-1.9933307500798698,0.9444444444444444
30.04,-1.2538287430967248,-1.9810843975402568,0.9444444444444444
30.05,-1.2735777359797482,-1.9686898005649591,0.9444444444444444
30.060000000000002,-1.2932020599406333,-1.9561513109802708,0.9444444444444444
30.07,-1.3127002973232602,-1.9434732421368628,0.9444444444444444
30.080000000000002,-1.332071073631655,-1.9306598689097694,0.9444444444444444
30.09,-1.351313057407702,-1.9177154270192494,0.9444444444444444
30.1,-1.3704249587973816,-1.9046441041695694,0.9444444444444444
30.11,-1.3894055302136725,-1.8914500430002297,0.9444444444444444
30.12,-1.4082535647249863,-1.8781373339725467,0.9444444444444444
30.13,-1.426967895609406,-1.864710013110986,0.9444444444444444
30.14,-1.4455473963547396,-1.851172062003124,0.9444444444444444
30.150000000000002,-1.4639909806584737,-1.8375274077996817,0.9444444444444444
30.16,-1.4822976010735696,-1.823779919223456,0.9444444444444444
30.17,-1.5004662485087255,-1.809933404089772,0.9444444444444444
30.18,-1.5184959518685264,-1.795991609272751,0.9444444444444444
30.19,-1.5363857763864457,-1.7819582165587278,0.9444444444444444
30.2,-1.5541348236231836,-1.7678368426419355,0.9444444444444444
30.21,-1.571742231466717,-1.753631039124465,0.9444444444444444
30.22,-1.5892071738382794,-1.7393442921455813,0.9444444444444444
30.23,-1.60652885813908,-1.7249800186000501,0.9444444444444444
30.240000000000002,-1.623706526634742,-1.7105415675260267,0.9444444444444444
30.25,-1.6407394539784712,-1.6960322180024108,0.9444444444444444
30.26,-1.657626946628149,-1.6814551785135052,0.9444444444444444
30.27,-1.6743683428462908,-1.666813586949052,0.9444444444444444
30.28,-1.6909630127000939,-1.6521105106041896,0.9444444444444444
30.29,-1.7074103571349728,-1.6373489459536272,0.9444444444444444
30.3,-1.723709805611511,-1.6225318173596324,0.9444444444444444
30.310000000000002,-1.7398608176496568,-1.6076619775894168,0.9444444444444444
30.32,-1.7558628798818448,-1.5927422079806004,0.9444444444444444
30.330000000000002,-1.7717155058583636,-1.5777752184222338,0.9444444444444444
30.34,-1.7874182360473172,-1.562763647354836,0.9444444444444444
30.35,-1.8029706378346693,-1.5477100617703528,0.9444444444444444
30.36,-1.8183723044398625,-1.5326169578092146,0.9444444444444444
30.37,-1.833622852432509,-1.5174867613463383,0.9444444444444444
30.38,-1.848721923648628,-1.502321827096091,0.9444444444444444
30.39,-1.8636691820294804,-1.4871244412719733,0.9444444444444444
30.400000000000002,-1.8784643134292334,-1.4718968217195543,0.9444444444444444
30.41,-1.893107025614976,-1.4566411179164562,0.9444444444444444
30.42,-1.907597048266735,-1.4413594109723382,0.9444444444444444
30.43,-1.921934132613867,-1.4260537140793987,0.9444444444444444
30.44,-1.9361180479380837,-1.4107259762050979,0.9444444444444444
30.45,-1.950148584177438,-1.3953780783461944,0.9444444444444444
30.46,-1.9640255491255716,-1.3800118381438817,0.9444444444444444
